Assemblage,Class,ElongMean,ElongSD,FlatMean,FlatSD,PflatMean,PflatSD,ConvergentEdges
Vale Comprido - Encosta,Blades,2.93,0.6,3.25,1.29,2.36,0.87,0.28
Vale Comprido - Encosta,Vale Comprido,2.39,0.63,2.85,1.08,2.88,0.65,0.5
Vale Boi,Blades,2.55,0.45,2.54,0.9,2.17,0.54,0.41
Vale Boi,Vale Comprido,2.03,0.37,3.05,0.98,1.85,0.57,0.63
Lapa do Picareiro,Blades,2.57,0.52,3.46,1,2.91,1.51,0.33
Casal do Cepo,Blades,2.47,0.24,3.78,1.85,NA,NA,0.16
Casal do Cepo,Points a face plan,2.71,0.42,4.46,1.39,NA,NA,NA
Vale Almoinha,Blades,2.96,0.73,3.83,1.28,NA,NA,0.11
Vale Almoinha,Points a face plan,2.74,0.74,4.47,1.51,NA,NA,NA
Casal do Felipe,Blades,2.88,0.5,3.7,1.13,4.34,1.98,0.19
Vale de Porcos,Blades,3.21,0.84,2.76,0.77,3.26,1.1,0.18
